"word","forms"
"αἱ μητέρες","nom pl fem"
"τῶν ἡγεμόνων","gen pl mas"
"οἱ φύλακες","nom pl mas"
"ὁ θεός","nom sg mas"
"ἡ χώρα","nom sg fem"
"ὁδέ","voc sg fem"
"ταῖς κῶμαις","dat pl fem"
"τῇ χειρί","dat sg fem"
"τὸν ἄνδρα","acc sg mas"
"ταῖς ἡμέραις","dat pl fem"
"κώμη","voc sg fem"
"τὴν δίκην","acc sg fem"
"ἵππε","voc sg mas"
"τὰς ἀγοράς","acc pl fem"
"τῷ ὀνόματι","dat sg neu"
"τοῖς πατράσι(ν)","dat pl mas"
"οἱ λόγοι","nom pl mas"
"ὁδοί","voc pl fem"
"τοῖς κήρυξι","dat pl mas"
"αἱ τιμαί","nom pl fem"
"τοὺς στρατιώτας","acc pl mas"
"χεῖρες","voc pl fem"
"τὰ ὀνόματα","acc pl neu"
"τὸν/τήν βάρβαρον","acc sg mas"
"τῷ ποταμῷ","dat sg mas"
"τοῦ ἀνθρώπου","gen sg mas"
"ἀρχῆς","gen sg fem"
"ἡγεμῶν","voc sg mas"
"ὁ κήρυξ","nom sg mas"
"αἱ κῶμαι","nom pl fem"
"τῶν νεανίων","gen pl mas"
"ταῖς θεαῖς","dat pl fem"
"τοὺς φίλους","acc pl mas"
"τὸν στρατιώτην","acc sg mas"
"τῇ πατρίδι","dat sg fem"
"τῶν ὁδῶν","gen pl fem"
"δίκαι","voc pl fem"
"τοὺς θανάτους","acc pl mas"
"τῶν μητέρων","gen pl fem"
"τοῖς ἵπποις","dat pl mas"
"τιμαί","voc pl fem"
"οἰκία","voc sg fem"
"νεανία","voc sg mas"
"οἱ θεοί","nom pl mas"
"τοῖς θεοῖς","dat pl mas"
"ἡ κώμη","nom sg fem"
"τῆς δίκης","gen sg fem"
"ἔργα","voc pl neu"
"τὴν ἡμέραν","acc sg fem"
"τῆς Ἑλλάδος","gen sg fem"
"τῆς νυκτός","gen sg fem"
"τοὺς ἄνδρας","acc pl mas"
"τῷ πυρί","dat sg neu"
"τῷ ἔργῳ","dat sg neu"
"τὰς Ἀθήνας","acc pl fem"
"τοῖς ξένοις","dat pl mas"
"τοῦ λόγου","gen sg mas"
"ταῖς πατρίσι","dat pl fem"
"ἀρχάς","acc pl fem"
"τῆς ἀγορᾶς","gen sg fem"
"στάδιον","voc sg neu"
"πολίτα","voc sg mas"
"ταῖς γυναιξί(ν)","dat pl fem"
"αἱ θεαί","nom pl fem"
"τό τέκνον","acc sg neu"
"τῆς ἡμέρας","gen sg fem"
"τὰς νύκτας","acc pl fem"
"ἀρχαί","voc pl fem"
"τοὺς λόγους","acc pl mas"
"τῶν γυναικῶν","gen pl fem"
"οἱ ποιηταί","nom pl mas"
"τοῖς φίλοις","dat pl mas"
"τῆς οἰκίας","gen sg fem"
"τῶν δικῶν","gen pl fem"
"θεαί","voc pl fem"
"θεέ","voc sg mas"
"ὁ Ἕλλην","nom sg mas"
"τῶν ποδῶν","gen pl mas"
"τοῦ ποταμοῦ","gen sg mas"
"λόγοι","voc pl mas"
"φύλακες","voc pl mas"
"τῷ στρατηγῷ","dat sg mas"
"τοῖς δώροις","dat pl neu"
"τῶν σταδίων","gen pl neu"
"τῷ σταδίῳ","dat sg neu"
"ὄνομα","voc sg neu"
"ἀρχήν","acc sg fem"
"ἄρχοντι","dat sg mas"
"τῷ νεανίᾳ","dat sg mas"
"τοῖς ὀνόμασιν","dat pl neu"
"ὀνόματα","voc pl neu"
"τῶν ὅπλων","gen pl neu"
"μητέρες","voc pl fem"
"τοῖς στρατιῶταις","dat pl mas"
"οἱ/αἱ βάρβαροι","nom pl mas"
"τοὺς χρόνους","acc pl mas"
"παῖ","voc sg mas"
"οἱ πόδες","nom pl mas"
"τῇ ὁδῷ","dat sg fem"
"τὴν κώμην","acc sg fem"
"τοὺς φύλακας","acc pl mas"
"τοῦ πράγματος","gen sg neu"
"τὰς τιμάς","acc pl fem"
"ἡ ἡμέρα","nom sg fem"
"ἄρχοντες","voc pl mas"
"τοῖς βίοις","dat pl mas"
"τοὺς Ἕλληνας","acc pl mas"
"τῶν ἔργων","gen pl neu"
"τῷ ἀνθρώπῳ","dat sg mas"
"τὸν βίον","acc sg mas"
"τοὺς ἵππους","acc pl mas"
"αἱ Ἀθῆναι","nom pl fem"
"τὸν νεανίαν","acc sg mas"
"χείρ","voc sg fem"
"τὸν Ἕλληνα","acc sg mas"
"τῶν οἰκιῶν","gen pl fem"
"τῶν χρόνων","gen pl mas"
"νεανίαι","voc pl mas"
"τοῦ ὀνόματος","gen sg neu"
"τὰς γυναῖκας","acc pl fem"
"τοῦ φύλακος","gen sg mas"
"ἡ δίκη","nom sg fem"
"τὰς θεάς","acc pl fem"
"τοῖς χρόνοις","dat pl mas"
"ἡ Ἐλλάς","nom sg fem"
"τῷ λόγῳ","dat sg mas"
"τῶν στρατηγῶν","gen pl mas"
"ὁ ἄνθρωπος","nom sg mas"
"τῷ πατρί","dat sg mas"
"τοὺς ποταμούς","acc pl mas"
"κάμηλοι","voc pl mas"
"τῷ Πέρσῃ","dat sg mas"
"τῷ στρατιώτῃ","dat sg mas"
"τέκνα","voc pl neu"
"ὅπλον","voc sg neu"
"οἱ στρατιῶται","nom pl mas"
"τὸν ποταμόν","acc sg mas"
"οἱ Ἕλληνες","nom pl mas"
"τῷ χρόνῳ","dat sg mas"
"φίλε","voc sg mas"
"ὁ θάνατος","nom sg mas"
"τοῖς φύλαξι","dat pl mas"
"ἡ νὺξ","nom sg fem"
"τοὺς πολίτας","acc pl mas"
"πατέρες","voc pl mas"
"ἀνερ","voc sg mas"
"τοῖς ποιηταῖς","dat pl mas"
"τῇ κώμῃ","dat sg fem"
"τὸ ὄνομα","acc sg neu"
"δῶρα","voc pl neu"
"τοῖς σταδίοις","dat pl neu"
"ἡ ὁδός","nom sg fem"
"τὰ δῶρα","acc pl neu"
"ἡ θεά","nom sg fem"
"τοὺς ξένους","acc pl mas"
"βάρβαρε","voc sg mas"
"τῶν ἀνδρῶν","gen pl mas"
"τοῖς στρατηγοῖς","dat pl mas"
"τῇ τιμῇ","dat sg fem"
"ταῖς μητράσι(ν)","dat pl fem"
"ἡ γυνή","nom sg fem"
"οἱ/αἱ/τὰ παῖδες","nom pl mas"
"τῶν χωρῶν","gen pl fem"
"τοῦ φίλου","gen sg mas"
"τὰς κώμας","acc pl fem"
"τῆς πατρίδος","gen sg fem"
"τὰ πυρά","acc pl neu"
"ταῖς θαλάτταις","dat pl fem"
"τοῦ/τῆς βαρβάρου","gen sg mas"
"ὅπλα","voc pl neu"
"τῶν ἀνθρώπων","gen pl mas"
"τὸν ἵππον","acc sg mas"
"κῆρυξ","voc sg mas"
"τοῦ ποιητοῦ","gen sg mas"
"αἱ χῶραι","nom pl fem"
"τὰς θάλαττας","acc pl fem"
"ὁ στρατιώτης","nom sg mas"
"τὸν θάνατον","acc sg mas"
"Ἕλλην","voc sg mas"
"χῶρα","voc sg fem"
"οἱ ἀδελφοί","nom pl mas"
"ἵπποι","voc pl mas"
"τῶν ποιητῶν","gen pl mas"
"ταῖς ἀγοραῖς","dat pl fem"
"τοῦ Πέρσου","gen sg mas"
"τῶν ὑδάτων","gen pl neu"
"τῷ φίλῳ","dat sg mas"
"ποταμοί","voc pl mas"
"τῷ θεῷ","dat sg mas"
"τῷ κήρυκι","dat sg mas"
"ὁ/ἡ βάρβαρος","nom sg mas"
"τὸν ἄνθρωπον","acc sg mas"
"αἱ οἰκίαι","nom pl fem"
"οἱ στρατηγοί","nom pl mas"
"ὁ Πέρσης","nom sg mas"
"πῦρ","voc sg neu"
"τῇ γυναικί","dat sg fem"
"τοῦ τέκνου","gen sg neu"
"τοῖς Ἕλλησι(ν)","dat pl mas"
"n/a","voc sg fem"
"τῶν ἀγορῶν","gen pl fem"
"τὴν νύκτα","acc sg fem"
"αἱ νύκτες","nom pl fem"
"τὸ ὅπλον","acc sg neu"
"Ἑλλάδες","voc pl fem"
"τῇ ἡμέρᾳ","dat sg fem"
"τὸν πόδα","acc sg mas"
"αἱ πατρίδες","nom pl fem"
"τοῦ ξένου","gen sg mas"
"πολῖται","voc pl mas"
"τῶν θαλαττῶν","gen pl fem"
"τῇ θαλάττῃ","dat sg fem"
"πρᾶγμα","voc sg neu"
"τὰς μητέρας","acc pl fem"
"τῶν θανάτων","gen pl mas"
"φίλοι","voc pl mas"
"Ἐλλάς","voc sg fem"
"τῶν στρατιωτῶν","gen pl mas"
"ταῖς Ἀθήναις","dat pl fem"
"βάρβαροι","voc pl mas"
"τὰ ἔργα","acc pl neu"
"ὁ φίλος","nom sg mas"
"οἱ Πέρσαι","nom pl mas"
"οἱ ξένοι","nom pl mas"
"ὁ στρατηγός","nom sg mas"
"θεά","voc sg fem"
"τὰς ἡμέρας","acc pl fem"
"ὁ/ἡ/τὸ παῖς","nom sg mas"
"τῆς χώρας","gen sg fem"
"τῷ ὕδατι","dat sg neu"
"ἄρχουσι","dat pl mas"
"τῷ ἀνδρί","dat sg mas"
"οἱ ἄνδρες","nom pl mas"
"ἀρχῇ","dat sg fem"
"τοῖς/ταῖς/τοῖς παισί(ν)","dat pl mas"
"οἱ ἵπποι","nom pl mas"
"τὸ στάδιον","acc sg neu"
"τῷ φύλακι","dat sg mas"
"τῷ ξένῳ","dat sg mas"
"τὰς χώρας","acc pl fem"
"ἀγορά","voc sg fem"
"τοῖς ποταμοῖς","dat pl mas"
"τῶν νυκτῶν","gen pl fem"
"στάδια","voc pl neu"
"ὁ νεανίας","nom sg mas"
"τοῦ ὅπλου","gen sg neu"
"τὸν φίλον","acc sg mas"
"τοῖς/ταῖς βαρβάροις","dat pl mas"
"ἡ ἀγορά","nom sg fem"
"τοὺς στρατηγούς","acc pl mas"
"ἄρχοντα","acc sg mas"
"αἱ γυναῖκες","nom pl fem"
"ὁ φύλαξ","nom sg mas"
"τῶν λόγων","gen pl mas"
"τοῖς Πέρσαις","dat pl mas"
"τὸν πολίτην","acc sg mas"
"ἄνθρωποι","voc pl mas"
"τῆς χειρός","gen sg fem"
"τῶν πραγμάτων","gen pl neu"
"τὰς Ἑλλάδας","acc pl fem"
"τῆς γυναικός","gen sg fem"
"τῷ ὅπλῳ","dat sg neu"
"τὸν/τὴν/τὸ παῖδα","acc sg mas"
"τοὺς κηρύκας","acc pl mas"
"τὴν ὁδόν","acc sg fem"
"πατρίδες","voc pl fem"
"τοῖς ἔργοις","dat pl neu"
"νύξ","voc sg fem"
"οἱ ποταμοί","nom pl mas"
"τῆς θαλάττης","gen sg fem"
"τοὺς Πέρσας","acc pl mas"
"ἔργον","voc sg neu"
"τῷ/τῇ/τῷ παιδί","dat sg mas"
"τῶν φυλάκων","gen pl mas"
"τοῖς πολῖταις","dat pl mas"
"τοῦ ἵππου","gen sg mas"
"τοὺς πατέρας","acc pl mas"
"τοὺς/τὰς/τὰ παῖδας","acc pl mas"
"πυρά","voc pl neu"
"θάλαττα","voc sg fem"
"Ἕλληνες","voc pl mas"
"τῷ ἵππῳ","dat sg mas"
"τὸν ποιητήν","acc sg mas"
"ὁ πολίτης","nom sg mas"
"τοὺς θεούς","acc pl mas"
"ἄρχοντων","gen pl mas"
"ξένοι","voc pl mas"
"τὰς χεῖρας","acc pl fem"
"τὴν Ἑλλάδα","acc sg fem"
"ὁ ξένος","nom sg mas"
"τῷ δώρῳ","dat sg neu"
"οἱ νεανίαι","nom pl mas"
"τοῦ Ἕλληνος","gen sg mas"
"θάνατοι","voc pl mas"
"τῶν Περσῶν","gen pl mas"
"τιμή","voc sg fem"
"τῶν πολιτῶν","gen pl mas"
"τὴν πατρίδα","acc sg fem"
"ὁ πατήρ","nom sg mas"
"τοῦ θανάτου","gen sg mas"
"ἡ χείρ","nom sg fem"
"τοῦ ποδός","gen sg mas"
"ξένε","voc sg mas"
"τοῦ ὕδατος","gen sg neu"
"τῆς θεᾶς","gen sg fem"
"τῆς μητρός","gen sg fem"
"τοὺς νεανίας","acc pl mas"
"τὰ ὅπλα","acc pl neu"
"τοῖς νεανίαις","dat pl mas"
"τῆς ὁδοῦ","gen sg fem"
"τὸν χρόνον","acc sg mas"
"χῶραι","voc pl fem"
"οἱ φίλοι","nom pl mas"
"ὁ ποταμός","nom sg mas"
"τὴν γυναῖκα","acc sg fem"
"τῇ Ἑλλάδι","dat sg fem"
"ὁ κάμηλος","nom sg mas"
"κῶμαι","voc pl fem"
"ταῖς χώραις","dat pl fem"
"παῖδες","voc pl mas"
"αἱ Ἑλλάδες","nom pl fem"
"τοὺς/τάς βαρβάρους","acc pl mas"
"τὸν θεόν","acc sg mas"
"τὸν φύλακα","acc sg mas"
"ἄρχοντος","gen sg mas"
"τοῦ βίου","gen sg mas"
"τῷ ἀδελφῷ","dat sg mas"
"τῶν Ἕλληνων","gen pl mas"
"ὁ βίος","nom sg mas"
"τὸ δῶρον","acc sg neu"
"τῶν ἡμερῶν","gen pl fem"
"τὸ ἔργον","acc sg neu"
"τὸν Πέρσην","acc sg mas"
"τοῖς λόγοις","dat pl mas"
"τοῦ στρατιώτου","gen sg mas"
"αἱ ἡμέραι","nom pl fem"
"τὸν ξένον","acc sg mas"
"στρατιῶτα","voc sg mas"
"ἀρχή","voc sg fem"
"τῶν πατρίδων","gen pl fem"
"ταῖς τιμαῖς","dat pl fem"
"οἱ βίοι","nom pl mas"
"βίε","voc sg mas"
"τὸν ἀδελφόν","acc sg mas"
"τῷ ἡγεμόνι","dat sg mas"
"τῶν ποταμῶν","gen pl mas"
"τοῖς καμήλοις","dat pl mas"
"τοῖς ἀνθρώποις","dat pl mas"
"τοὺς βίους","acc pl mas"
"αἱ χεῖρες","nom pl fem"
"τοῦ ἀνδρός","gen sg mas"
"τὴν θεάν","acc sg fem"
"δῶρον","voc sg neu"
"πάτερ","voc sg mas"
"Ἀθῆναι","voc pl fem"
"ἀδελφέ","voc sg mas"
"κῆρυκες","voc pl mas"
"ἡ οἰκία","nom sg fem"
"τῶν κηρύκων","gen pl mas"
"οἱ ἡγεμόνες","nom pl mas"
"τῶν χειρῶν","gen pl fem"
"τῷ θανάτῳ","dat sg mas"
"ταῖς δίκαις","dat pl fem"
"τοῦ/τῆς/τοῦ παιδός","gen sg mas"
"τὰς πατρίδας","acc pl fem"
"τὸν κάμηλον","acc sg mas"
"τῷ ποιητῇ","dat sg mas"
"τῷ Ἕλληνι","dat sg mas"
"τῇ ἀγορᾷ","dat sg fem"
"τοῖς ἀνδράσι(ν)","dat pl mas"
"ταῖς οἰκίαις","dat pl fem"
"τοῦ πολίτου","gen sg mas"
"τοῖς ποσί(ν)","dat pl mas"
"πατρίς","voc sg fem"
"τέκνον","voc sg neu"
"ταῖς χερσί(ν)","dat pl fem"
"τοῖς ἡγεμόσιν","dat pl mas"
"ὁ πούς","nom sg mas"
"ὕδωρ","voc sg neu"
"τοῦ καμήλου","gen sg mas"
"τοῦ χρόνου","gen sg mas"
"τῶν βαρβάρων","gen pl mas"
"τῶν παίδων","gen pl mas"
"τοὺς καμήλους","acc pl mas"
"τῶν πυρῶν","gen pl neu"
"ταῖς ὁδοῖς","dat pl fem"
"τῶν ἀδελφῶν","gen pl mas"
"τὴν χεῖρα","acc sg fem"
"τῷ βίῳ","dat sg mas"
"βίοι","voc pl mas"
"τὰς οἰκίας","acc pl fem"
"ἡ πατρίς","nom sg fem"
"οἰκίαι","voc pl fem"
"τῶν τιμῶν","gen pl fem"
"τῷ τέκνῳ","dat sg neu"
"ἡ θάλαττα","nom sg fem"
"τῷ/τῇ βαρβάρῳ","dat sg mas"
"τοῖς τέκνοις","dat pl neu"
"χρόνε","voc sg mas"
"ἡ τιμή","nom sg fem"
"Πέρσα","voc sg mas"
"τῶν Ἑλλάδων","gen pl fem"
"τὸν λόγον","acc sg mas"
"τὸν κῆρυκα","acc sg mas"
"τὰ στάδια","acc pl neu"
"οἱ κάμηλοι","nom pl mas"
"τοὺς ἀδελφούς","acc pl mas"
"τὸν ἡγεμόνα","acc sg mas"
"ἀδελφοί","voc pl mas"
"τῶν θεῶν","gen pl fem; gen pl mas"
"τῶν δώρων","gen pl neu"
"θεοί","voc pl mas"
"τῇ δίκῃ","dat sg fem"
"Πέρσαι","voc pl mas"
"τοῦ ἔργου","gen sg neu"
"τοῖς πυρσί(ν)","dat pl neu"
"τοὺς ἡγεμόνας","acc pl mas"
"τοῦ πατρός","gen sg mas"
"τὸ πρᾶγμα","acc sg neu"
"τοὺς πόδας","acc pl mas"
"ἄνδρες","voc pl mas"
"τὰ ὕδατα","acc pl neu"
"τῶν ὀνομάτων","gen pl neu"
"οἱ πατέρες","nom pl mas"
"στρατηγέ","voc sg mas"
"τὰς δίκας","acc pl fem"
"ἀγοραί","voc pl fem"
"τοῦ κήρυκος","gen sg mas"
"οἱ κῆρυκες","nom pl mas"
"ἄρχον","voc sg mas"
